NU_CEP,id,VL_MEDIA_PRECO
98001,0,280804.6906077348
98002,1,234284.0351758794
98003,2,294111.27857142856
98004,3,1356523.9905362776
98005,4,810289.6964285715
98006,5,859938.5542168674
98007,6,617254.0212765958
98008,7,645628.2261484099
98010,8,423665.99
98011,9,490377.1076923077
98014,10,455617.1129032258
98019,11,424815.06315789477
98022,12,315709.30341880344
98023,13,286742.81162324647
98024,14,580637.9012345679
98027,15,617053.9660194175
98028,16,462488.8692579505
98029,17,612642.738317757
98030,18,296187.98046875
98031,19,300539.8905109489
98032,20,251296.24
98033,21,803990.8194444445
98034,22,521740.0146788991
98038,23,366876.0745762712
98039,24,2161300.0
98040,25,1194873.6382978724
98042,26,311632.10583941604
98045,27,439507.2805429864
98052,28,645244.2264808363
98053,29,678275.7012345679
98055,30,304262.1082089552
98056,31,420895.47536945814
98058,32,353619.07472527475
98059,33,493625.3098290598
98065,34,528003.1387096774
98070,35,487480.4745762712
98072,36,570073.5201465201
98074,37,685675.8435374149
98075,38,790734.704735376
98077,39,682885.9898989899
98092,40,334921.0626780627
98102,41,901516.1714285715
98103,42,585048.7790697674
98105,43,863228.9432314411
98106,44,319581.3940298507
98107,45,579109.8082706766
98108,46,355678.51612903224
98109,47,880077.752293578
98112,48,1096239.0074349442
98115,49,619944.1492281304
98116,50,618695.1090909091
98117,51,576834.808318264
98118,52,417645.3070866142
98119,53,849714.8097826086
98122,54,634558.1448275862
98125,55,469485.0390243902
98126,56,424734.60451977403
98133,57,386997.3967611336
98136,58,551768.5209125475
98144,59,594706.5422740525
98146,60,359496.2604166667
98148,61,284908.5964912281
98155,62,423736.9058295964
98166,63,464322.38976377953
98168,64,240328.3717472119
98177,65,676419.3921568628
98178,66,310612.75572519086
98188,67,289078.3455882353
98198,68,302896.7392857143
98199,69,792187.8738170346
